Source,Station,Latitude,Longitude,StationID,SubRegion,Region
20mm,723,38.23725,-121.6730833,20mm 723,Lower Cache Slough,North
20mm,724,38.25625,-121.6520833,20mm 724,Steamboat and Miner Slough,North
20mm,726,38.28305556,-121.6438333,20mm 726,Steamboat and Miner Slough,North
20mm,809,38.05377778,-121.6930278,20mm 809,San Joaquin River at Twitchell Island,SouthCentral
20mm,901,38.04625,-121.6185,20mm 901,Franks Tract,SouthCentral
20mm,902,38.02038889,-121.5826667,20mm 902,Holland Cut,SouthCentral
20mm,910,38.005,-121.4530278,20mm 910,San Joaquin River near Stockton,SouthCentral
20mm,912,37.96641667,-121.3685556,20mm 912,San Joaquin River near Stockton,SouthCentral
20mm,914,37.9715,-121.52,20mm 914,Mildred Island,SouthCentral
20mm,915,37.94427778,-121.5678889,20mm 915,Old River,SouthCentral
20mm,918,37.859,-121.5671389,20mm 918,Victoria Canal,SouthCentral
20mm,501,38.07333333,-122.0263333,20mm 501,Mid Suisun Bay,Suisun Bay
20mm,504,38.05194444,-121.9860833,20mm 504,Mid Suisun Bay,Suisun Bay
20mm,519,38.07475,-121.9580833,20mm 519,Honker Bay,Suisun Bay
20mm,602,38.11555556,-122.0423917,20mm 602,Grizzly Bay,Suisun Bay
20mm,606,38.17058333,-122.0279167,20mm 606,Suisun Marsh,Suisun Marsh
20mm,609,38.16708333,-121.9378333,20mm 609,Suisun Marsh,Suisun Marsh
20mm,610,38.12219444,-121.8891111,20mm 610,Suisun Marsh,Suisun Marsh
20mm,705,38.09761111,-121.70875,20mm 705,Sacramento River near Rio Vista,Confluence
20mm,706,38.08608333,-121.7504444,20mm 706,Lower Sacramento River,Confluence
20mm,707,38.11469444,-121.7078611,20mm 707,Sacramento River near Rio Vista,Confluence
20mm,812,38.08991667,-121.6399167,20mm 812,San Joaquin River at Twitchell Island,SouthCentral
20mm,815,38.08713889,-121.5711389,20mm 815,San Joaquin River at Prisoners Pt,SouthCentral
20mm,906,38.05002778,-121.5064722,20mm 906,San Joaquin River at Prisoners Pt,SouthCentral
20mm,919,38.10519444,-121.4945833,20mm 919,Lower Mokelumne River,SouthCentral
20mm,508,38.04716667,-121.9172222,20mm 508,Confluence,Confluence
20mm,513,38.05886111,-121.86775,20mm 513,Confluence,Confluence
20mm,520,38.03216667,-121.8631111,20mm 520,Confluence,Confluence
20mm,703,38.04861111,-121.7973889,20mm 703,Lower Sacramento River,Confluence
20mm,704,38.06658333,-121.7903111,20mm 704,Lower Sacramento River,Confluence
20mm,801,38.04369444,-121.844,20mm 801,Confluence,Confluence
20mm,804,38.01644444,-121.7913056,20mm 804,Lower San Joaquin River,Confluence
20mm,411,38.05022222,-122.0765278,20mm 411,West Suisun Bay,Suisun Bay
20mm,418,38.0675,-122.0955556,20mm 418,West Suisun Bay,Suisun Bay
20mm,711,38.17741667,-121.66225,20mm 711,Sacramento River near Rio Vista,Confluence
20mm,716,38.23855556,-121.6839167,20mm 716,Liberty Island,North
20mm,718,38.25755556,-121.7290278,20mm 718,Cache Slough and Lindsey Slough,North
20mm,719,38.3335,-121.6475,20mm 719,Lower Sacramento River Ship Channel,North
20mm,720,38.26263889,-121.7792778,20mm 720,Cache Slough and Lindsey Slough,North
Baystudy,428,38.062,-122.1053,Baystudy 428,West Suisun Bay,Suisun Bay
Baystudy,429,38.08583333,-122.0768333,Baystudy 429,West Suisun Bay,Suisun Bay
Baystudy,430,38.1082,-122.055,Baystudy 430,Grizzly Bay,Suisun Bay
Baystudy,431,38.1052,-122.028,Baystudy 431,Grizzly Bay,Suisun Bay
Baystudy,432,38.0425,-122.108,Baystudy 432,West Suisun Bay,Suisun Bay
Baystudy,433,38.06011667,-121.9828167,Baystudy 433,Mid Suisun Bay,Suisun Bay
