Station,year,Temperature,Conductivity,Salinity,Secchi,DissolvedOxygen,pH,out_mean
Baystudy 853,2004,18.975,1286.25,0.6533427619326614,52.5,NA,NA,15343.224489795919
Baystudy 853,2005,19.1375,596.125,0.2906350676529467,77.5,NA,NA,21753.82857142857
Baystudy 853,2006,17.416666666666668,394.1666666666667,0.18918532617668202,89.375,NA,NA,54995.71020408163
Baystudy 853,2007,18.514285714285716,1411.2857142857142,0.7159955067678108,89.57142857142857,NA,NA,7474.297959183674
Baystudy 853,2008,18.385714285714286,1347.7142857142858,0.6827613121150915,52.142857142857146,NA,NA,6407.257142857143
Baystudy 853,2009,18.45,1079.625,0.541283259919536,78.125,NA,NA,9470.408163265307
Baystudy 853,2010,18.6625,907.375,0.4561995302405196,90.625,NA,NA,12587.183673469388
Baystudy 853,2011,18.22222222222222,312,0.14828030554658483,105.55555555555556,NA,NA,41069.54693877551
Baystudy 853,2012,19.525,790.75,0.3927342038295679,90.625,NA,NA,11250.216326530612
Baystudy 853,2013,19.3375,1086.375,0.5448329879960155,73.125,NA,NA,7592.432653061224
Baystudy 853,2014,19.585714285714285,2091.5714285714284,1.0924369814684607,90.71428571428571,NA,NA,5707.624489795919
Baystudy 853,2015,20.2625,2655.125,1.384136517513999,64.375,NA,NA,5286.322448979592
Baystudy 853,2016,20.4,696.8,0.34259037147919025,55,NA,NA,16438.248979591837
Baystudy 853,2017,18.35,174,0.08174798780490268,80.83333333333333,NA,NA,45803.473469387754
Baystudy 853,2018,20.55,859.3333333333334,0.42536333604915627,115,NA,NA,14148.044897959184
Baystudy 853,2019,20.45714285714286,283.85714285714283,0.13542879148419976,103.75,NA,NA,41791.126530612244
Baystudy 853,2020,20.55,1336.3333333333333,0.6776597354700278,112.5,NA,NA,6795.955102040816
EMP C9,2016,18.14,626,0.30305950642070856,NA,8.49,7.63,16438.248979591837
EMP C9,2017,19.77625,162.125,0.0759725677154355,NA,8.2225,7.495,45803.473469387754
EMP C9,2018,19.8125,390.5,0.18695074612073576,NA,8.3925,7.5675,14148.044897959184
EMP C9,2019,20.085,181.075,0.08505514009372465,NA,8.12,7.64375,41791.126530612244
EMP C9,2020,21.721666666666668,413.5,0.19807923421754328,NA,8.141666666666666,7.901666666666666,6795.955102040816
EMP C9,2021,20.71625,605.875,NA,NA,7.72625,7.6274999999999995,5889.1469387755105
EMP D19,2004,20.96666666666667,686.1666666666666,0.33466451823735666,80.66666666666667,8.15,NA,15343.224489795919
EMP D19,2005,19.29125,345,0.16518885475932782,109.25,8.44375,NA,21753.82857142857
EMP D19,2006,19.4,222.125,0.10493444117285958,88.75,8.5125,NA,54995.71020408163
EMP D19,2007,18.65,552,0.2683983793166461,101.5,8.8875,NA,7474.297959183674
EMP D19,2008,19.2625,541.375,0.2627151231155939,77,8.58125,NA,6407.257142857143
EMP D19,2009,19.025,495.75,0.24037755836175506,106.5,8.575,7.82625,9470.408163265307
EMP D19,2010,18.55,466.625,0.22693162351841709,115,8.6375,7.81125,12587.183673469388
EMP D19,2011,18.75,176.5,0.0828701884397518,153,8.65,7.32875,41069.54693877551
EMP D19,2012,19.125,509.125,0.24662248271588025,113,8.49375,7.84875,11250.216326530612
EMP D19,2013,19.47875,474.5,0.22887452784959628,112,8.61875,7.86625,7592.432653061224
EMP D19,2014,20.425,771.625,0.37740720030372,136,8.33125,7.79375,5707.624489795919
EMP D19,2015,20.53875,901.125,0.443463605407586,102.5,8.168750000000001,7.9037500000000005,5286.322448979592
EMP D19,2016,19.59125,519.375,0.25195122248502083,99.75,8.76375,7.87375,16438.248979591837
EMP D19,2017,19.11,160.25,0.07508763779272887,134.25,8.87875,7.53125,45803.473469387754
EMP D19,2018,19.49125,458.25,0.22181484936786938,195.5,9.16625,7.84875,14148.044897959184
EMP D19,2019,19.275,185.5,0.08727679188878808,141,8.772499999999999,7.7175,41791.126530612244
EMP D19,2020,21.081666666666667,570.3333333333334,0.276895087268149,220,8.924999999999999,8.038333333333334,6795.955102040816
EMP D19,2021,19.48875,710.25,NA,148.25,9.08875,8.23,5889.1469387755105
