Date,ds_year,month,Source,Station,Region,SubRegion,ds_year_type,Season,samples_in_month,chlaAvg,chlaAvg_log10
1975-01-22T08:00:00Z,1975,1,EMP,C3,North Delta,Middle Sacramento River,Wet,Winter,1,2.22,0.3463529744506387
1975-01-21T08:00:00Z,1975,1,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Winter,1,6.18,0.7909884750888159
1975-01-22T08:00:00Z,1975,1,EMP,C9,South-Central Delta,Victoria Canal,Wet,Winter,1,1.61,0.20682587603184974
1975-01-08T08:00:00Z,1975,1,EMP,D10,Confluence,Confluence,Wet,Winter,1,1.17,0.06818586174616162
1975-01-07T08:00:00Z,1975,1,EMP,D11,Confluence,Lower Sacramento River,Wet,Winter,1,1.24,0.09342168516223506
1975-01-08T08:00:00Z,1975,1,EMP,D12,Confluence,Lower San Joaquin River,Wet,Winter,1,0.99,-0.004364805402450088
1975-01-08T08:00:00Z,1975,1,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Winter,1,1.36,0.13353890837021754
1975-01-07T08:00:00Z,1975,1,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Winter,1,1.11,0.045322978786657475
1975-01-07T08:00:00Z,1975,1,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Winter,1,1.11,0.045322978786657475
1975-01-07T08:00:00Z,1975,1,EMP,D19,South-Central Delta,Franks Tract,Wet,Winter,1,1.17,0.06818586174616162
1975-01-07T08:00:00Z,1975,1,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Winter,1,0.86,-0.06550154875643228
1975-01-07T08:00:00Z,1975,1,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Winter,1,1.05,0.021189299069938092
1975-01-07T08:00:00Z,1975,1,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Winter,1,1.24,0.09342168516223506
1975-01-07T08:00:00Z,1975,1,EMP,D4,Confluence,Lower Sacramento River,Wet,Winter,1,1.05,0.021189299069938092
1975-01-08T08:00:00Z,1975,1,EMP,D6,Suisun Bay,West Suisun Bay,Wet,Winter,1,0.86,-0.06550154875643228
1975-01-08T08:00:00Z,1975,1,EMP,D7,Suisun Bay,Grizzly Bay,Wet,Winter,1,1.24,0.09342168516223506
1975-01-08T08:00:00Z,1975,1,EMP,D8,Suisun Bay,Mid Suisun Bay,Wet,Winter,1,1.17,0.06818586174616162
1975-01-08T08:00:00Z,1975,1,EMP,D9,Suisun Bay,Honker Bay,Wet,Winter,1,1.17,0.06818586174616162
1975-01-21T08:00:00Z,1975,1,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Winter,1,3.15,0.4983105537896005
1975-01-22T08:00:00Z,1975,1,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Winter,1,5,0.6989700043360189
1975-02-04T08:00:00Z,1975,2,EMP,C3,North Delta,Middle Sacramento River,Wet,Winter,1,3.46,0.5390760987927766
1975-02-03T08:00:00Z,1975,2,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Winter,1,13.59,1.1332194567324942
1975-02-04T08:00:00Z,1975,2,EMP,C9,South-Central Delta,Victoria Canal,Wet,Winter,1,2.28,0.35793484700045375
1975-02-06T08:00:00Z,1975,2,EMP,D10,Confluence,Confluence,Wet,Winter,1,2.1,0.3222192947339193
1975-02-05T08:00:00Z,1975,2,EMP,D11,Confluence,Lower Sacramento River,Wet,Winter,1,2.22,0.3463529744506387
1975-02-06T08:00:00Z,1975,2,EMP,D12,Confluence,Lower San Joaquin River,Wet,Winter,1,2.16,0.3344537511509309
1975-02-06T08:00:00Z,1975,2,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Winter,1,2.1,0.3222192947339193
1975-02-05T08:00:00Z,1975,2,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Winter,1,1.98,0.2966651902615311
1975-02-05T08:00:00Z,1975,2,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Winter,1,1.98,0.2966651902615311
1975-02-05T08:00:00Z,1975,2,EMP,D19,South-Central Delta,Franks Tract,Wet,Winter,1,1.91,0.28103336724772754
1975-02-05T08:00:00Z,1975,2,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Winter,1,3.46,0.5390760987927766
1975-02-05T08:00:00Z,1975,2,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Winter,1,5.43,0.7347998295888469
1975-02-05T08:00:00Z,1975,2,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Winter,1,2.22,0.3463529744506387
1975-02-03T08:00:00Z,1975,2,EMP,D28A,South-Central Delta,Old River,Wet,Winter,1,1.85,0.26717172840301384
1975-02-05T08:00:00Z,1975,2,EMP,D4,Confluence,Lower Sacramento River,Wet,Winter,1,2.59,0.4132997640812518
1975-02-06T08:00:00Z,1975,2,EMP,D6,Suisun Bay,West Suisun Bay,Wet,Winter,1,2.28,0.35793484700045375
1975-02-06T08:00:00Z,1975,2,EMP,D7,Suisun Bay,Grizzly Bay,Wet,Winter,1,1.73,0.2380461031287954
1975-02-06T08:00:00Z,1975,2,EMP,D8,Suisun Bay,Mid Suisun Bay,Wet,Winter,1,2.1,0.3222192947339193
1975-02-06T08:00:00Z,1975,2,EMP,D9,Suisun Bay,Honker Bay,Wet,Winter,1,2.35,0.37106786227173627
1975-02-03T08:00:00Z,1975,2,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Winter,1,7.1,0.8512583487190752
1975-02-04T08:00:00Z,1975,2,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Winter,1,14.2,1.1522883443830565
1975-02-03T08:00:00Z,1975,2,EMP,P8,South-Central Delta,San Joaquin River near Stockton,Wet,Winter,1,20.38,1.3092041796704075
1975-03-18T07:00:00Z,1975,3,EMP,C3,North Delta,Middle Sacramento River,Wet,Spring,1,1.85,0.26717172840301384
1975-03-18T07:00:00Z,1975,3,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Spring,1,8.65,0.9370161074648142
1975-03-18T07:00:00Z,1975,3,EMP,C9,South-Central Delta,Victoria Canal,Wet,Spring,1,8.34,0.9211660506377387
1975-03-20T07:00:00Z,1975,3,EMP,D10,Confluence,Confluence,Wet,Spring,1,1.48,0.17026171539495738
1975-03-19T07:00:00Z,1975,3,EMP,D11,Confluence,Lower Sacramento River,Wet,Spring,1,1.42,0.15228834438305647
1975-03-20T07:00:00Z,1975,3,EMP,D12,Confluence,Lower San Joaquin River,Wet,Spring,1,1.42,0.15228834438305647
1975-03-20T07:00:00Z,1975,3,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Spring,1,1.91,0.28103336724772754
1975-03-19T07:00:00Z,1975,3,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,1.17,0.06818586174616162
1975-03-19T07:00:00Z,1975,3,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,1.42,0.15228834438305647
1975-03-19T07:00:00Z,1975,3,EMP,D19,South-Central Delta,Franks Tract,Wet,Spring,1,1.73,0.2380461031287954
1975-03-19T07:00:00Z,1975,3,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,2.1,0.3222192947339193
1975-03-19T07:00:00Z,1975,3,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,1.67,0.22271647114758325
1975-03-19T07:00:00Z,1975,3,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Spring,1,1.73,0.2380461031287954
1975-03-18T07:00:00Z,1975,3,EMP,D28A,South-Central Delta,Old River,Wet,Spring,1,2.1,0.3222192947339193
1975-03-19T07:00:00Z,1975,3,EMP,D4,Confluence,Lower Sacramento River,Wet,Spring,1,1.61,0.20682587603184974
1975-03-20T07:00:00Z,1975,3,EMP,D6,Suisun Bay,West Suisun Bay,Wet,Spring,1,0.86,-0.06550154875643228
1975-03-20T07:00:00Z,1975,3,EMP,D7,Suisun Bay,Grizzly Bay,Wet,Spring,1,2.84,0.45331834004703764
1975-03-20T07:00:00Z,1975,3,EMP,D9,Suisun Bay,Honker Bay,Wet,Spring,1,1.42,0.15228834438305647
1975-03-18T07:00:00Z,1975,3,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Spring,1,8.03,0.9047155452786809
