"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro #","Basin #","Owner","Maintenance","Operator","Map #","Collect #","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"130","SAN JOAQUIN R - MONITORING WELL #130","130","37.023313","-120.539028","DOS PALOS","6","9001","999","999","50","23","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"142","SAN JOAQUIN R - MONITORING WELL #142","100","37.1861","-120.6829","LOS BANOS","6","9001","999","999","50","24","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"225","MONITORING WELL MW-17-225","116","37.023313","-120.539028","DOS PALOS","6","9001","999","999","50","23","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"49B","SJRRP MW-09-49B","171","36.7712","-120.2702","FIREBAUGH","6","9001","999","999","50","29","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"ANC","ANTIOCH (USBR)","10","38.017817","-121.802965","ANTIOCH","5","8101","999","999","50","16","0","CONTRA COSTA","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100,102"
"ANH","SAN JOAQUIN RIVER AT ANTIOCH","10","38.0178298950195","-121.802963256836","ANTIOCH","5","9001","999","999","705","999","0","CONTRA COSTA","SAN JOAQUIN R","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,4,5,9,10,14,25,26,27,28,61,62,100,102,141,146"
"BAC","BACON ISLAND AT OLD RIVER","0","37.9693450927734","-121.572174072266","BRENTWOOD","5","8101","999","999","703","999","0","SAN JOAQUIN","DELTA","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","1,5,14,25,100,141"
"BDL","BELDON LANDING","0","38.1869","-121.9708","FAIRFIELD","5","6501","999","705","705","17","0","SOLANO","SACRAMENTO R","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,5,14,25,27,28,61,62,100"
"BDT","SAN JOAQUIN R AT BRANDT BRIDGE","0","37.865","-121.3231","LATHROP","6","9001","999","999","703","23","0","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","1,5,14,20,21,25,41,100,141"
"BET","BETHEL ISLAND","9","38.0410919189453","-121.632186889648","RIO VISTA","5","8101","999","999","704","999","0","CONTRA COSTA","DELTA","CA Dept of Water Resources/North Central Region Office","SACRAMENTO RIVER","5,14,25,27,61,100,222,223,224"
"BIR","MIDDLE R AT BACON ISLAND RD","10","37.943056","-121.53389","MIDDLE RIVER","6","9001","999","999","704","22","2","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/North Central Region Office","SAN JOAQUIN RIVER","1,14,25,100"
"BKS","BARKER SLOUGH PUMPING PLANT (KG000000)","0","38.2759","-121.7965","RIO VISTA","2","8101","999","999","703","17","0","SOLANO","DELTA","CA Dept of Water Resources/Operations and Maintenance","SAN FRANCISCO BAY","23,25,27,62,70,100,114,146,149,272"
