"","Yr_type","Region","Mean","FR","Copepods","CopepodsPerSummer","PercentEaten"
"1","Critical","Confluence",0.0230394381850341,2.30394381850341,4676.82517241379,207.354943665307,0.0443366891044779
"2","Critical","Suisun Bay",0.00502642773187048,0.502642773187048,952.361176470588,45.2378495868343,0.0475007284048306
"3","Critical","Suisun Marsh",0.0203598980557839,2.03598980557839,996.515,183.239082502055,0.183879903967381
"4","Dry","Confluence",0.00118496068205988,0.118496068205988,2378.17037037037,10.664646138539,0.00448439114010073
"5","Dry","Suisun Bay",0.00307192292048359,0.307192292048359,1548.88823529412,27.6473062843523,0.0178497748606777
"6","Dry","Suisun Marsh",0.0260137850205577,2.60137850205577,1797.29,234.12406518502,0.130265046367041
"7","Below Normal","Confluence",0.00105292379989201,0.105292379989201,3573.60333333333,9.47631419902809,0.00265175323479143
"8","Below Normal","Suisun Bay",0.00563628719777259,0.563628719777259,937.478571428571,50.7265847799533,0.0541095938893343
"9","Below Normal","Suisun Marsh",0.020946921134783,2.0946921134783,1127.1,188.522290213047,0.167263144541786
"10","Wet","Confluence",0.00258305743233216,0.258305743233216,3717.13870967742,23.2475168909895,0.00625414295960102
"11","Wet","Suisun Bay",0.05777888663331,5.777888663331,1236.308,520.00997969979,0.42061523479569
"12","Wet","Suisun Marsh",0.0381386320785288,3.81386320785288,1176.8625,343.247688706759,0.291663375038936
