"","AlgaeBloomReportID","UpdatedOn","CreatedOn","RegionalBoardID","CountyID","Latitude","Longitude","ObservationDate","HasPostedSigns","HasContactWithWater","WaterBodyType","WaterBodyName","WaterBodyManager","RecLandManager","IsIncidentResoloved","IncidentInformation","TypeofSign","OfficialWaterBodyName","BloomLastVerifiedOn","BloomDeterminedBy","ApprovedforPost","UpdatedOn_Date","TypeofSign_new","days_ago_label"
"1",1414,NA,2016-04-30 20:08:38,5,4,39.753166,-121.7879,2016-04-24,"No","No","Lake","Upper California Park Lake","Home Owner's Association","Home Owner's Association","Yes","Spread out through the entire body of water, but especially thick towards the shore. Closures posted by Butte County Environmental Health in July.","closed","California Park Lake",2016-04-30,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"2",1415,2016-09-09 00:00:00,2016-06-06 10:42:27,5,39,38.018501,-121.80568,2016-06-02,"Yes","No","River","San Joaquin River (Stockton Deep Water Ship Channel)","Port of Stockton Commission","Port of Stockton Commission","No","In June the presence of cyanobacteria was reported in the San Joaquin River (Stockton Deep Water Ship Channel) from Antioch to Stockton. No monitoring was conducted but San Joaquin County Public Health Services issued a media release alerting the public. Signs were posted at marinas and public access areas to warn recreational users of the health hazards and to urge them to avoid contact with the cyanobacteria. For more information on this cyanobacteria bloom, contact San Joaquin County Public Health Services at (209) 468-3455.","caution","San Joaquin River (Stockton Deep Water Ship Channel)",2016-09-09,"Observation",TRUE,2016-09-09,"Last verified >90 days ago","Older than 90 days"
"3",1416,2016-09-09 00:00:00,2016-07-12 10:20:05,5,45,40.822311,-122.02478,2016-07-05,"Yes","No","Lake","Shasta Lake/Pit River Arm","Unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). 
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake",2016-09-09,"Analytical",TRUE,2016-09-09,"Last verified >90 days ago","Older than 90 days"
"4",1417,2016-10-12 00:00:00,2016-07-14 09:03:27,4,19,34.662758,-118.76556,2016-07-06,"No","No","Lake","Pyramid Lake","Department of Water Resources","Department of Water Resources","Yes","Green Clusters near Vaquero Swim Beach near shore. Species identified as Microcystis sp., Woronichinia naegeliana, Dolichospermum Sp. (Anabaena).","none","Pyramid Lake",2016-09-26,"Analytical",TRUE,2016-10-12,"Last verified >90 days ago","Older than 90 days"
"5",1418,2016-09-09 00:00:00,2016-07-18 17:55:39,5,7,37.9016022,-121.62036,2016-07-15,"No","No","Man-made bay in delta","Discovery Bay","Town of Discovery Bay","Town of Discovery Bay & CCEHD","No","In July the Contra Costa County Health Services Department responded to multiple citizen complaints of cyanobacteria in Discovery Bay. Sampling indicated the presence of harmful cyanobacteria and the presence of the toxin, microcystin, which triggered the posting of Caution and Danger signs at multiple locations. The Health Services Department is continuing to monitor the bloom and collecting water samples as necessary. Results from the monitoring are posted online and include an algae map, which can be found on the Health Services website. In addition, 7,000 mailers were sent to bay front property owners and renters.  Residents and members of the public are encouraged to visit the website for continual updates. Website link: http://cchealth.org/eh/blue-green-algae.php","warning","Discovery Bay",2016-07-15,"Observation",TRUE,2016-09-09,"Last verified >90 days ago","Older than 90 days"
"6",1420,2016-09-09 00:00:00,2016-07-28 10:39:14,5,45,41.02986,-121.64647,2016-07-22,"No","No","Lake","Lake Britton","PG&E","PG&E","No","In July a cyanobacteria bloom was reported occurring in Lake Britton and the Pit River. Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by Pacific Gas and Electric Company. Low concentrations are still being found but the bloom is subsiding and water quality conditions are improving. The advisory will be lifted and caution signs removed once the toxin is no longer detected. For more information on this cyanobacteria bloom event, contact Paul Moreno at (530) 896-4290.","none","Lake Britton",2016-09-09,"Observation",TRUE,2016-09-09,"Last verified >90 days ago","Older than 90 days"
"7",1421,NA,2016-07-28 10:46:11,5,17,39.0235,-122.77924,2016-06-19,"No","No","Lake","Clear Lake","LakeBed Management","Lake County/Private","No","Map point is an estimation and might not reflect exact location of bloom(s). Ongoing bloom in parts of Clear Lake. Contact local officials for updates on which parts of the lake are affected.","none","Clear Lake",2016-07-28,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"8",1422,2016-09-09 00:00:00,2016-07-28 10:48:51,5,4,39.557213,-121.41005,2016-07-26,"No","No","Lake","Lake Oroville","Department of Water Resources","Department of Water Resources","Yes","In July a cyanobacteria bloom was reported occurring in the upper portion of the Middle Fork Feather River arm of Lake Oroville. The bloom occurred in a small, remote location of the lake.  The Department of Water Resources conducted monitoring and worked with California State Parks staff to notify park visitors and post caution signs at downstream recreational areas.  Monitoring conducted over the past three weeks found no detections of cyanotoxins. A visual check of the bloom area showed no signs of the bloom, indicating it has subsided. With the absence of toxins in the water, caution signs were removed. Water Resources and State Parks staffs are partnering to continue routine monitoring of the area.
For more information on this cyanobacteria bloom event, contact Eric See of the Department of Water Resources, Oroville Field Division, at (530) 534-2324.","none","Lake Oroville",2016-07-28,"Observation",TRUE,2016-09-09,"Last verified >90 days ago","Older than 90 days"
"9",1423,2017-03-14 00:00:00,2016-03-04 11:19:45,2,1,37.572387,-122.00109,2016-03-04,"Yes","No","Lake","Quarry Lakes","East Bay Regional Parks","East Bay Regional Parks","Yes","12/08/2016 UPDATE: No postings, a small amount of Microcystin and Dolichospermum-type colonies near the boat launch. No microcystins detected.

6/25/2016 UPDATE: Quary lakes are re-opened to swimming

3/4/2016: Closed to swimming and posted","closed to swimming","Quarry Lakes",2016-12-08,"Observation",TRUE,2017-03-14,"Last verified >90 days ago","Older than 90 days"
"10",1424,2017-08-31 00:00:00,2016-04-28 00:00:00,2,1,37.597211,-121.72118,2016-04-28,"Yes","No","Lake","Lake Del Valle","East Bay Parks","East Bay Parks","Yes","Bloom observed at lake, signs posted to avoid swimming. After several weeks of no visual observations and no toxins detected, re-opened to swimming. Avoid contact with algae and algae-like substances and rinse off after water contact (humans and pets).","for current sign see 2017 bloom #1525","Lake del Valle",2016-12-08,"Analytical",TRUE,2017-08-31,"Last verified >90 days ago","Older than 90 days"
