"","AlgalType","Genus"
"1","Centric Diatom","Aulacoseira"
"2","Centric Diatom","Cyclotella"
"3","Centric Diatom","Melosira"
"4","Centric Diatom","Thalassiosira"
"5","Ciliate","Strombidium"
"6","Cryptophyte","Plagioselmis"
"7","Cyanobacterium","Eucapsis"
"8","Cyanobacterium","Microcystis"
"9","Diatom","Achnanthidium"
"10","Diatom","Actinocyclus"
"11","Diatom","Adlafia"
"12","Diatom","Amphora"
"13","Diatom","Aneumastus"
"14","Diatom","Anomoeoneis"
"15","Diatom","Asterionella"
"16","Diatom","Aulacoseira"
"17","Diatom","Bacillaria"
"18","Diatom","Capartogramma"
"19","Diatom","Cerataulina"
"20","Diatom","Chaetoceros"
"21","Diatom","Cocconeis"
"22","Diatom","Coscinodiscus"
"23","Diatom","Craticula"
"24","Diatom","Cuspidothrix"
"25","Diatom","Cyclotella"
"26","Diatom","Cylindrotheca"
"27","Diatom","Cymbella"
"28","Diatom","Diatoma"
"29","Diatom","Didymosphenia"
"30","Diatom","Diploneis"
"31","Diatom","Encyonema"
"32","Diatom","Entomoneis"
"33","Diatom","Epithemia"
"34","Diatom","Fallacia"
"35","Diatom","Fragilaria"
"36","Diatom","Fragilariforma"
"37","Diatom","Geissleria"
"38","Diatom","Gomphoneis"
"39","Diatom","Gomphonema"
"40","Diatom","Gomphosinica"
"41","Diatom","Gyrosigma"
"42","Diatom","Halamphora"
"43","Diatom","Hippodonta"
"44","Diatom","Iconella"
"45","Diatom","Mastogloia"
"46","Diatom","Melosira"
"47","Diatom","Microcostatus"
"48","Diatom","Navicula"
"49","Diatom","Navigeia"
"50","Diatom","Nitzschia"
"51","Diatom","Nupela"
"52","Diatom","Pinnularia"
"53","Diatom","Plagiotropis"
"54","Diatom","Planothidium"
"55","Diatom","Pleurosigma"
"56","Diatom","Psammodictyon"
"57","Diatom","Psammothidium"
"58","Diatom","Pseudostaurosira"
"59","Diatom","Reimeria"
"60","Diatom","Rhizosolenia"
"61","Diatom","Rhoicosphenia"
"62","Diatom","Rhopalodia"
"63","Diatom","Sellaphora"
"64","Diatom","Skeletonema"
"65","Diatom","Stauroforma"
