StationCode,Latitude,Longitude,Survey,DataTypes
MK004W,38.12746155,-121.5804697,DJFMP,Fish catch
MR010W,37.9217722,-121.5287972,DJFMP,Fish catch
MS001N,38.05604444,-121.7855639,DJFMP,Fish catch
OR003W,38.031977,-121.581859,DJFMP,Fish catch
OR014W,37.92148633,-121.5558943,DJFMP,Fish catch
OR019E,37.87674206,-121.5767796,DJFMP,Fish catch
OR023E,37.82567304,-121.551276,DJFMP,Fish catch
SJ001S,38.01480683,-121.7827132,DJFMP,Fish catch
SJ005N,38.05079336,-121.6994317,DJFMP,Fish catch
SR012E,38.13272407,-121.6865463,DJFMP,Fish catch
SR012W,38.1392889,-121.6949056,DJFMP,Fish catch
TM001N,38.11666073,-121.6837998,DJFMP,Fish catch
WD002W,37.95546975,-121.6042633,DJFMP,Fish catch
513,38.05946,-121.864,TNS,Fish catch
520,38.03281,-121.86931,TNS,Fish catch
704,38.06776,-121.77501,TNS,Fish catch
706,38.09006,-121.739,TNS,Fish catch
707,38.11226,-121.70601,TNS,Fish catch
801,38.05561,-121.847,TNS,Fish catch
804,38.02056,-121.794,TNS,Fish catch
809,38.05396,-121.686,TNS,Fish catch
812,38.08866,-121.64051,TNS,Fish catch
815,38.08,-121.56981,TNS,Fish catch
902,38.02616,-121.58301,TNS,Fish catch
914,37.9715,-121.52,TNS,Fish catch
915,37.94056,-121.559,TNS,Fish catch
918,37.85931,-121.56881,TNS,Fish catch
FAL,38.05547,-121.667,DWR,Water quality and flow
BET,38.04109192,-121.6321869,DWR,Water quality
BLP,38.03245163,-121.7190399,DWR,Water quality
DSJ,38.013,-121.671,DWR,Water quality and flow
FRK,38.04642,-121.598,DWR,Water quality
HLT,38.00308,-121.511,DWR,Water quality
HOL,38.01582,-121.582,DWR,Water quality and flow
MDM,37.943,-121.534,DWR,Water quality
OBI,37.96936798,-121.5722198,DWR,Water quality
ORQ,38.02712,-121.565,DWR,Water quality and flow
OSJ,38.07125,-121.578,DWR,Water quality and flow
SJJ,38.052,-121.689,DWR,Water quality
SSI,38.074097,-121.761736,DWR,Water quality
TSL,38.1033,-121.6861,DWR,Water quality
TWI,38.0969,-121.6691,DWR,Water quality
WCI,37.8316,-121.554,DWR,Water quality
FCT,38.067822,-121.648838,,Flow
OH4,37.891109,-121.569168,,Water quality
