Station,Date,Analyte,result,Study,Region
DHAB004,7/22/2021,Microcystins,0.1820,Preece,Upper Sacramento
DHAB004,8/11/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB004,8/31/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB004,9/5/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB004,9/22/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB004,9/22/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB004,10/20/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB004,10/28/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB004,11/12/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB004,12/27/2021,Microcystins,ND,Preece,Upper Sacramento
DHAB005,1/8/2021,Microcystins,ND,Preece,SDWSC
DHAB005,2/10/2021,Microcystins,ND,Preece,SDWSC
DHAB005,3/31/2021,Microcystins,ND,Preece,SDWSC
DHAB005,4/19/2021,Microcystins,ND,Preece,SDWSC
DHAB005,5/17/2021,Microcystins,ND,Preece,SDWSC
DHAB005,5/17/2021,Microcystins,ND,Preece,SDWSC
DHAB005,6/3/2021,Microcystins,ND,Preece,SDWSC
DHAB005,6/18/2021,Microcystins,ND,Preece,SDWSC
DHAB005,7/7/2021,Microcystins,ND,Preece,SDWSC
DHAB005,7/22/2021,Microcystins,0.2154,Preece,SDWSC
DHAB005,8/11/2021,Microcystins,ND,Preece,SDWSC
DHAB005,8/31/2021,Microcystins,ND,Preece,SDWSC
DHAB005,9/5/2021,Microcystins,ND,Preece,SDWSC
DHAB005,9/22/2021,Microcystins,ND,Preece,SDWSC
DHAB005,10/20/2021,Microcystins,ND,Preece,SDWSC
DHAB005,10/28/2021,Microcystins,ND,Preece,SDWSC
DHAB005,11/12/2021,Microcystins,ND,Preece,SDWSC
DHAB005,12/27/2021,Microcystins,ND,Preece,SDWSC
DHAB006,1/8/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,2/10/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,3/31/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,4/19/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,5/17/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,6/3/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,6/3/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,6/18/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,6/18/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,7/7/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,7/22/2021,Microcystins,0.1525,Preece,Cache Slough/Liberty Island
DHAB006,8/11/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,8/31/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,9/5/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,9/22/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,10/20/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,10/28/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,11/12/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB006,12/27/2021,Microcystins,ND,Preece,Cache Slough/Liberty Island
DHAB007,1/7/2021,Microcystins,ND,Preece,South Delta
DHAB007,2/8/2021,Microcystins,ND,Preece,South Delta
DHAB007,3/30/2021,Microcystins,ND,Preece,South Delta
DHAB007,4/21/2021,Microcystins,ND,Preece,South Delta
DHAB007,5/14/2021,Microcystins,ND,Preece,South Delta
DHAB007,6/4/2021,Microcystins,ND,Preece,South Delta
DHAB007,6/17/2021,Microcystins,ND,Preece,South Delta
DHAB007,7/19/2021,Microcystins,0.3012,Preece,South Delta
DHAB007,7/19/2021,Microcystins,0.8220,Preece,South Delta
DHAB007,7/21/2021,Microcystins,0.3285,Preece,South Delta
DHAB007,7/21/2021,Microcystins,0.3859,Preece,South Delta
DHAB007,8/11/2021,Microcystins,0.6584,Preece,South Delta
DHAB007,8/31/2021,Microcystins,0.1606,Preece,South Delta
DHAB007,9/4/2021,Microcystins,0.1226,Preece,South Delta
DHAB007,10/20/2021,Microcystins,ND,Preece,South Delta
DHAB007,10/28/2021,Microcystins,ND,Preece,South Delta
DHAB007,11/12/2021,Microcystins,ND,Preece,South Delta
DHAB007,12/27/2021,Microcystins,ND,Preece,South Delta
DHAB008,1/5/2021,Microcystins,ND,Preece,South Delta
DHAB008,2/10/2021,Microcystins,ND,Preece,South Delta
DHAB008,3/30/2021,Microcystins,ND,Preece,South Delta
DHAB008,4/22/2021,Microcystins,ND,Preece,South Delta
DHAB008,5/18/2021,Microcystins,ND,Preece,South Delta
DHAB008,6/1/2021,Microcystins,ND,Preece,South Delta
DHAB008,6/16/2021,Microcystins,ND,Preece,South Delta
DHAB008,7/7/2021,Microcystins,0.6674,Preece,South Delta
DHAB008,7/22/2021,Microcystins,0.1959,Preece,South Delta
DHAB008,8/11/2021,Microcystins,0.1434,Preece,South Delta
DHAB008,8/11/2021,Microcystins,2.9965,Preece,South Delta
DHAB008,8/26/2021,Microcystins,0.4166,Preece,South Delta
DHAB008,9/5/2021,Microcystins,ND,Preece,South Delta
DHAB008,9/20/2021,Microcystins,0.1596,Preece,South Delta
DHAB008,10/20/2021,Microcystins,ND,Preece,South Delta
DHAB008,11/2/2021,Microcystins,ND,Preece,South Delta
DHAB008,11/12/2021,Microcystins,ND,Preece,South Delta
DHAB008,12/27/2021,Microcystins,ND,Preece,South Delta
DHAB009,1/5/2021,Microcystins,ND,Preece,South Delta
DHAB009,2/10/2021,Microcystins,ND,Preece,South Delta
DHAB009,3/30/2021,Microcystins,ND,Preece,South Delta
DHAB009,4/22/2021,Microcystins,ND,Preece,South Delta
DHAB009,5/18/2021,Microcystins,ND,Preece,South Delta
DHAB009,6/1/2021,Microcystins,ND,Preece,South Delta
DHAB009,6/16/2021,Microcystins,ND,Preece,South Delta
DHAB009,7/7/2021,Microcystins,0.2766,Preece,South Delta
DHAB009,7/22/2021,Microcystins,0.4150,Preece,South Delta
DHAB009,8/11/2021,Microcystins,ND,Preece,South Delta
DHAB009,8/26/2021,Microcystins,0.1588,Preece,South Delta
DHAB009,9/5/2021,Microcystins,0.1118,Preece,South Delta
DHAB009,9/5/2021,Microcystins,0.1320,Preece,South Delta
DHAB009,9/20/2021,Microcystins,0.2183,Preece,South Delta
DHAB009,10/20/2021,Microcystins,ND,Preece,South Delta
DHAB009,10/28/2021,Microcystins,ND,Preece,South Delta
DHAB009,11/12/2021,Microcystins,ND,Preece,South Delta
DHAB009,12/27/2021,Microcystins,ND,Preece,South Delta
DHAB010,1/5/2021,Microcystins,ND,Preece,South Delta
DHAB010,2/10/2021,Microcystins,ND,Preece,South Delta
DHAB010,3/30/2021,Microcystins,ND,Preece,South Delta
DHAB010,4/22/2021,Microcystins,ND,Preece,South Delta
DHAB010,5/18/2021,Microcystins,ND,Preece,South Delta
DHAB010,6/1/2021,Microcystins,ND,Preece,South Delta
DHAB010,6/16/2021,Microcystins,ND,Preece,South Delta
DHAB010,7/7/2021,Microcystins,0.4417,Preece,South Delta
DHAB010,7/22/2021,Microcystins,0.4603,Preece,South Delta
DHAB010,8/11/2021,Microcystins,ND,Preece,South Delta
DHAB010,8/26/2021,Microcystins,0.1859,Preece,South Delta
DHAB010,8/26/2021,Microcystins,0.3342,Preece,South Delta
DHAB010,9/5/2021,Microcystins,0.1122,Preece,South Delta
DHAB010,9/20/2021,Microcystins,0.1756,Preece,South Delta
DHAB010,10/20/2021,Microcystins,ND,Preece,South Delta
DHAB010,10/20/2021,Microcystins,ND,Preece,South Delta
DHAB010,11/2/2021,Microcystins,ND,Preece,South Delta
DHAB010,11/12/2021,Microcystins,ND,Preece,South Delta
DHAB010,12/27/2021,Microcystins,ND,Preece,South Delta
FRK,7/2/2021,Microcystins,ND,CVRWQCB,South Delta
FRK,8/6/2021,Anatoxins,ND,CVRWQCB,South Delta
FRK,8/6/2021,Microcystins,0.6300,CVRWQCB,South Delta
JPT,1/12/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,1/12/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,1/12/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,2/16/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,2/16/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,2/16/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,3/3/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,3/3/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,3/3/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,3/16/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,3/16/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,3/16/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,4/1/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,4/1/2021,Anatoxins,2.1684,USGS,Lower San Joaquin
JPT,4/1/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,4/13/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,4/13/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,4/13/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,4/27/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,4/27/2021,Anatoxins,0.7305,USGS,Lower San Joaquin
JPT,4/27/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,5/14/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,5/14/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,5/14/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,7/7/2021,Anabaenopeptins,178.0800,USGS,Lower San Joaquin
JPT,7/7/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,7/7/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,7/21/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,7/21/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,7/21/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,8/18/2021,Anabaenopeptins,18.6800,USGS,Lower San Joaquin
JPT,8/18/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,8/18/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,9/21/2021,Anabaenopeptins,0.7400,USGS,Lower San Joaquin
JPT,9/21/2021,Anatoxins,ND,USGS,Lower San Joaquin
JPT,9/21/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,10/4/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,10/4/2021,Microcystins,0.0460,USGS,Lower San Joaquin
JPT,10/5/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,10/5/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,10/21/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,10/21/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,11/17/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,11/17/2021,Microcystins,ND,USGS,Lower San Joaquin
JPT,12/16/2021,Anabaenopeptins,ND,USGS,Lower San Joaquin
JPT,12/16/2021,Microcystins,ND,USGS,Lower San Joaquin
LIB,5/11/2021,Anabaenopeptins,ND,USGS,Cache Slough/Liberty Island
LIB,5/11/2021,Anatoxins,ND,USGS,Cache Slough/Liberty Island
LIB,5/11/2021,Microcystins,ND,USGS,Cache Slough/Liberty Island
LIB,8/18/2021,Anabaenopeptins,ND,USGS,Cache Slough/Liberty Island
LIB,8/18/2021,Microcystins,ND,USGS,Cache Slough/Liberty Island
LIB,9/23/2021,Anabaenopeptins,ND,USGS,Cache Slough/Liberty Island
LIB,9/23/2021,Microcystins,ND,USGS,Cache Slough/Liberty Island
LIB,10/4/2021,Anabaenopeptins,ND,USGS,Cache Slough/Liberty Island
LIB,10/4/2021,Microcystins,ND,USGS,Cache Slough/Liberty Island
LIB,10/5/2021,Anabaenopeptins,ND,USGS,Cache Slough/Liberty Island
LIB,10/5/2021,Microcystins,ND,USGS,Cache Slough/Liberty Island
LIB,10/21/2021,Anabaenopeptins,ND,USGS,Cache Slough/Liberty Island
LIB,10/21/2021,Microcystins,ND,USGS,Cache Slough/Liberty Island
LIB,11/16/2021,Anabaenopeptins,ND,USGS,Cache Slough/Liberty Island
LIB,11/16/2021,Microcystins,ND,USGS,Cache Slough/Liberty Island
LIB,12/9/2021,Anabaenopeptins,ND,USGS,Cache Slough/Liberty Island
LIB,12/9/2021,Microcystins,ND,USGS,Cache Slough/Liberty Island
MDM,7/7/2021,Anabaenopeptins,0.0100,USGS,South Delta
MDM,7/7/2021,Microcystins,0.2200,USGS,South Delta
MDM,7/21/2021,Anabaenopeptins,0.0300,USGS,South Delta
MDM,7/21/2021,Microcystins,0.0600,USGS,South Delta
MDM,8/2/2021,Anabaenopeptins,0.0900,USGS,South Delta
MDM,8/2/2021,Microcystins,0.0600,USGS,South Delta
MDM,8/18/2021,Anabaenopeptins,0.4700,USGS,South Delta
MDM,8/18/2021,Microcystins,0.0300,USGS,South Delta
MDM,9/2/2021,Anabaenopeptins,0.1000,USGS,South Delta
MDM,9/2/2021,Microcystins,0.0100,USGS,South Delta
MDM,9/16/2021,Anabaenopeptins,ND,USGS,South Delta
MDM,9/16/2021,Microcystins,ND,USGS,South Delta
MDM,10/6/2021,Anabaenopeptins,ND,USGS,South Delta
MDM,10/6/2021,Microcystins,ND,USGS,South Delta
MDM,10/19/2021,Anabaenopeptins,ND,USGS,South Delta
MDM,10/19/2021,Microcystins,ND,USGS,South Delta
MDM,12/8/2021,Anabaenopeptins,ND,USGS,South Delta
MDM,12/8/2021,Microcystins,ND,USGS,South Delta
MI,7/2/2021,Microcystins,0.6000,CVRWQCB,South Delta
RRI,7/16/2021,Anabaenopeptins,0.0100,USGS,South Delta
RRI,7/16/2021,Microcystins,0.1300,USGS,South Delta
RRI,7/29/2021,Anabaenopeptins,0.5300,USGS,South Delta
RRI,7/29/2021,Microcystins,0.0300,USGS,South Delta
RRI,8/16/2021,Anabaenopeptins,0.2200,USGS,South Delta
RRI,8/16/2021,Microcystins,0.0500,USGS,South Delta
RRI,8/30/2021,Anabaenopeptins,0.3000,USGS,South Delta
RRI,8/30/2021,Microcystins,0.0100,USGS,South Delta
RRI,9/10/2021,Anabaenopeptins,0.1000,USGS,South Delta
RRI,9/10/2021,Microcystins,0.0100,USGS,South Delta
RRI,9/24/2021,Anabaenopeptins,0.0400,USGS,South Delta
RRI,9/24/2021,Microcystins,0.0500,USGS,South Delta
RRI,10/13/2021,Anabaenopeptins,ND,USGS,South Delta
RRI,10/13/2021,Microcystins,0.0100,USGS,South Delta
RRI,10/26/2021,Anabaenopeptins,ND,USGS,South Delta
RRI,10/26/2021,Microcystins,ND,USGS,South Delta
RRI,11/10/2021,Anabaenopeptins,ND,USGS,South Delta
RRI,11/10/2021,Microcystins,ND,USGS,South Delta
RRI,12/10/2021,Anabaenopeptins,ND,USGS,South Delta
RRI,12/10/2021,Microcystins,ND,USGS,South Delta
VER,7/14/2021,Anabaenopeptins,0.5800,USGS,Vernalis
VER,7/14/2021,Microcystins,ND,USGS,Vernalis
VER,7/29/2021,Anabaenopeptins,ND,USGS,Vernalis
VER,7/29/2021,Microcystins,ND,USGS,Vernalis
VER,8/12/2021,Anabaenopeptins,ND,USGS,Vernalis
VER,8/12/2021,Microcystins,ND,USGS,Vernalis
VER,8/27/2021,Anabaenopeptins,0.0900,USGS,Vernalis
VER,8/27/2021,Microcystins,0.0600,USGS,Vernalis
VER,9/9/2021,Anabaenopeptins,ND,USGS,Vernalis
VER,9/9/2021,Microcystins,ND,USGS,Vernalis
VER,9/24/2021,Anabaenopeptins,0.0300,USGS,Vernalis
VER,9/24/2021,Microcystins,ND,USGS,Vernalis
VER,10/11/2021,Anabaenopeptins,0.0400,USGS,Vernalis
VER,10/11/2021,Microcystins,ND,USGS,Vernalis
VER,10/26/2021,Anabaenopeptins,ND,USGS,Vernalis
VER,10/26/2021,Microcystins,ND,USGS,Vernalis
VER,11/8/2021,Anabaenopeptins,ND,USGS,Vernalis
VER,11/8/2021,Microcystins,ND,USGS,Vernalis
VER,12/8/2021,Anabaenopeptins,ND,USGS,Vernalis
VER,12/8/2021,Microcystins,ND,USGS,Vernalis
