"","Station","Stratum","Stratum2","Year","Date","DateTime","Taxon","Genus","Species","AlgalType","Count","OrganismsPerMl"
"1","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Achnanthidium minutissimum","Achnanthidium",NA,"Pennate Diatom",2,182.09
"2","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Aulacoseira ambigua","Aulacoseira",NA,"Centric Diatom",5,455.22
"3","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",459,41788.96
"4","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",2,182.09
"5","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Epithemia sp.","Epithemia",NA,"Pennate Diatom",1,91.04
"6","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Geitlerinema splendidum","Geitlerinema",NA,"Cyanobacterium",1,91.04
"7","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Gomphoneis minuta","Gomphoneis",NA,"Pennate Diatom",1,91.04
"8","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Gomphonema sp.","Gomphonema",NA,"Pennate Diatom",2,182.09
"9","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Monoraphidium arcuatum","Monoraphidium",NA,"Green Alga",1,91.04
"10","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Navicula gregaria","Navicula",NA,"Pennate Diatom",1,91.04
"11","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Navicula sp.","Navicula",NA,"Pennate Diatom",4,364.17
"12","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Nitzschia fonticola","Nitzschia",NA,"Pennate Diatom",1,91.04
"13","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Nitzschia frustulum","Nitzschia",NA,"Pennate Diatom",3,273.13
"14","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Nitzschia palea","Nitzschia",NA,"Pennate Diatom",1,91.04
"15","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Nitzschia sociabilis","Nitzschia",NA,"Pennate Diatom",1,91.04
"16","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Nitzschia sp.","Nitzschia",NA,"Pennate Diatom",1,91.04
"17","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Nitzschia tubicola","Nitzschia",NA,"Pennate Diatom",1,91.04
"18","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Planothidium frequentissimum","Planothidium",NA,"Pennate Diatom",2,182.09
"19","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Surirella cf. suecica","Surirella",NA,"Pennate Diatom",1,91.04
"20","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Synedra ulna","Synedra",NA,"Pennate Diatom",2,182.09
"21","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Synedra ulna","Synedra",NA,"Pennate Diatom",4,364.17
"22","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Adlafia sp.","Adlafia",NA,"Pennate Diatom",2,151.74
"23","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Anabaena sp.","Anabaena",NA,"Cyanobacterium",1,75.87
"24","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Aulacoseira alpigena","Aulacoseira",NA,"Centric Diatom",2,151.74
"25","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"cf. Plagioselmis nannoplanctica","Plagioselmis",NA,"Cryptophyte",2,151.74
"26","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",365,27692.39
"27","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Chroomonas rosenbergii","Chroomonas",NA,"Cryptophyte",1,75.87
"28","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Cocconeis placentula","Cocconeis",NA,"Pennate Diatom",1,75.87
"29","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Craticula accomoda","Craticula",NA,"Pennate Diatom",5,379.35
"30","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",45,3414.13
"31","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Gomphonema parvulum","Gomphonema",NA,"Pennate Diatom",2,151.74
"32","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Gyrosigma sp.","Gyrosigma",NA,"Pennate Diatom",2,151.74
"33","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Hippodonta capitata","Hippodonta",NA,"Pennate Diatom",2,151.74
"34","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Navicula sp.","Navicula",NA,"Pennate Diatom",10,758.7
"35","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Nitzschia acicularis","Nitzschia",NA,"Pennate Diatom",3,227.61
"36","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Nitzschia dissipata","Nitzschia",NA,"Pennate Diatom",1,75.87
"37","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Nitzschia inconspicua","Nitzschia",NA,"Pennate Diatom",1,75.87
"38","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Nitzschia sp.","Nitzschia",NA,"Pennate Diatom",1,75.87
"39","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Planothidium sp.","Planothidium",NA,"Pennate Diatom",1,75.87
"40","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Pseudokephyrion sp.","Pseudokephyrion",NA,"Chrysophyte",1,75.87
"41","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Rhoicosphenia abbreviata","Rhoicosphenia",NA,"Pennate Diatom",1,75.87
"42","C10A",NA,NA,2014,2014-01-07,2014-01-07 13:15:00,"Scenedesmus opoliensis var. mononensis","Scenedesmus",NA,"Green Alga",2,151.74
"43","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"cf. Bacillaria paxillifer","Bacillaria",NA,"Pennate Diatom",1,56.2
"44","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"cf. Navicula sp.","Navicula",NA,"Pennate Diatom",1,56.2
"45","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",413,23210.47
"46","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"Cocconeis placentula","Cocconeis",NA,"Pennate Diatom",9,505.8
"47","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",1,56.2
"48","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"Gomphonema sp.","Gomphonema",NA,"Pennate Diatom",2,112.4
"49","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"Navicula lanceolata","Navicula",NA,"Pennate Diatom",1,56.2
"50","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"Pseudokephyrion pseudospirale","Pseudokephyrion",NA,"Chrysophyte",1,56.2
"51","D19","Franks Tract","Franks",2014,2014-01-08,2014-01-08 11:23:00,"Rhoicosphenia abbreviata","Rhoicosphenia",NA,"Pennate Diatom",2,112.4
"52","D28A","Old and Middle river","OMR",2014,2014-01-08,2014-01-08 12:24:00,"Chlamydomonas globosa","Chlamydomonas",NA,"Green Alga",5,227.61
"53","D28A","Old and Middle river","OMR",2014,2014-01-08,2014-01-08 12:24:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",366,16660.96
"54","D28A","Old and Middle river","OMR",2014,2014-01-08,2014-01-08 12:24:00,"Cocconeis placentula","Cocconeis",NA,"Pennate Diatom",8,364.17
"55","D28A","Old and Middle river","OMR",2014,2014-01-08,2014-01-08 12:24:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",6,273.13
"56","D28A","Old and Middle river","OMR",2014,2014-01-08,2014-01-08 12:24:00,"Navicula sp.","Navicula",NA,"Pennate Diatom",3,136.57
"57","D28A","Old and Middle river","OMR",2014,2014-01-08,2014-01-08 12:24:00,"Rhodomonas cf. lacustris","Rhodomonas",NA,"Cryptophyte",16,728.35
"58","D26","Lower San Joaquin","Lower SJ",2014,2014-01-09,2014-01-09 10:15:00,"Aulacoseira granulata","Aulacoseira",NA,"Centric Diatom",8,520.25
"59","D26","Lower San Joaquin","Lower SJ",2014,2014-01-09,2014-01-09 10:15:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",368,23931.43
"60","D26","Lower San Joaquin","Lower SJ",2014,2014-01-09,2014-01-09 10:15:00,"Cocconeis placentula","Cocconeis",NA,"Pennate Diatom",3,195.09
"61","D26","Lower San Joaquin","Lower SJ",2014,2014-01-09,2014-01-09 10:15:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",10,650.31
"62","D26","Lower San Joaquin","Lower SJ",2014,2014-01-09,2014-01-09 10:15:00,"Nitzschia sp.","Nitzschia",NA,"Pennate Diatom",2,130.06
"63","D26","Lower San Joaquin","Lower SJ",2014,2014-01-09,2014-01-09 10:15:00,"Pseudokephyrion pseudospirale","Pseudokephyrion",NA,"Chrysophyte",1,65.03
"64","D26","Lower San Joaquin","Lower SJ",2014,2014-01-09,2014-01-09 10:15:00,"Rhodomonas cf. lacustris","Rhodomonas",NA,"Cryptophyte",7,455.22
"65","D26","Lower San Joaquin","Lower SJ",2014,2014-01-09,2014-01-09 10:15:00,"Synedra ulna","Synedra",NA,"Pennate Diatom",6,390.19
"66","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"Aulacoseira sp.","Aulacoseira",NA,"Centric Diatom",5,175.08
"67","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"cf. Bacillaria paxillifer","Bacillaria",NA,"Pennate Diatom",1,35.02
"68","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"cf. Ochromonas sp.","Ochromonas",NA,"Chrysophyte",1,35.02
