"","Year","SpeciesID","Region","StationCode","Biomass","Density","Grazing_rate","Latitude","Longitude","Month","Season","Survey"
"1","2007","Potamocorbula amurensis","Confluence","D24-L",NA,"0",NA,"38.1547193","-121.6814495","5","Spring","EMP"
"2","2007","Potamocorbula amurensis","Confluence","D24-L",NA,"0",NA,"38.1547193","-121.6814495","10","Fall","EMP"
"3","2007","Corbicula fluminea","Confluence","D24-L",NA,"774.038461538462",NA,"38.1547193","-121.6814495","5","Spring","EMP"
"4","2007","Corbicula fluminea","Confluence","D24-L",NA,"961.538461538462",NA,"38.1547193","-121.6814495","10","Fall","EMP"
"5","2007","Potamocorbula amurensis","Confluence","D4-L",NA,"48.0769230769231",NA,"38.0581151","-121.8193499","5","Spring","EMP"
"6","2007","Potamocorbula amurensis","Confluence","D4-L",NA,"192.307692307692",NA,"38.0581151","-121.8193499","10","Fall","EMP"
"7","2007","Corbicula fluminea","Confluence","D4-L",NA,"1581.73076923077",NA,"38.0581151","-121.8193499","5","Spring","EMP"
"8","2007","Corbicula fluminea","Confluence","D4-L",NA,"466.346153846154",NA,"38.0581151","-121.8193499","10","Fall","EMP"
"9","2007","Potamocorbula amurensis","Suisun Bay","D6-R",NA,"11110.5769230769",NA,"38.0577031","-122.1149585","5","Spring","EMP"
"10","2007","Potamocorbula amurensis","Suisun Bay","D6-R",NA,"2206.73076923077",NA,"38.0577031","-122.1149585","10","Fall","EMP"
"11","2007","Corbicula fluminea","Suisun Bay","D6-R",NA,"0",NA,"38.0577031","-122.1149585","5","Spring","EMP"
"12","2007","Corbicula fluminea","Suisun Bay","D6-R",NA,"0",NA,"38.0577031","-122.1149585","10","Fall","EMP"
"13","2007","Potamocorbula amurensis","Suisun Bay","D7-C",NA,"1701.92307692308",NA,"38.1171292","-122.0395539","5","Spring","EMP"
"14","2007","Potamocorbula amurensis","Suisun Bay","D7-C",NA,"7201.92307692308",NA,"38.1171292","-122.0395539","10","Fall","EMP"
"15","2007","Corbicula fluminea","Suisun Bay","D7-C",NA,"0",NA,"38.1171292","-122.0395539","5","Spring","EMP"
"16","2007","Corbicula fluminea","Suisun Bay","D7-C",NA,"0",NA,"38.1171292","-122.0395539","10","Fall","EMP"
"17","2007","Potamocorbula amurensis","SouthCentral","C9-L",NA,"0",NA,"37.8271721","-121.5522898","5","Spring","EMP"
"18","2007","Potamocorbula amurensis","SouthCentral","C9-L",NA,"0",NA,"37.8271721","-121.5522898","10","Fall","EMP"
"19","2007","Corbicula fluminea","SouthCentral","C9-L",NA,"182.692307692308",NA,"37.8271721","-121.5522898","5","Spring","EMP"
"20","2007","Corbicula fluminea","SouthCentral","C9-L",NA,"139.423076923077",NA,"37.8271721","-121.5522898","10","Fall","EMP"
"21","2007","Potamocorbula amurensis","SouthCentral","D16-L",NA,"0",NA,"38.093031","-121.6697445","5","Spring","EMP"
"22","2007","Potamocorbula amurensis","SouthCentral","D16-L",NA,"0",NA,"38.093031","-121.6697445","10","Fall","EMP"
"23","2007","Corbicula fluminea","SouthCentral","D16-L",NA,"9.61538461538461",NA,"38.093031","-121.6697445","5","Spring","EMP"
"24","2007","Corbicula fluminea","SouthCentral","D16-L",NA,"24.0384615384615",NA,"38.093031","-121.6697445","10","Fall","EMP"
"25","2007","Potamocorbula amurensis","SouthCentral","D28A-L",NA,"0",NA,"37.9701652","-121.5741188","5","Spring","EMP"
"26","2007","Potamocorbula amurensis","SouthCentral","D28A-L",NA,"0",NA,"37.9701652","-121.5741188","10","Fall","EMP"
"27","2007","Corbicula fluminea","SouthCentral","D28A-L",NA,"701.923076923077",NA,"37.9701652","-121.5741188","5","Spring","EMP"
"28","2007","Corbicula fluminea","SouthCentral","D28A-L",NA,"389.423076923077",NA,"37.9701652","-121.5741188","10","Fall","EMP"
"29","2007","Potamocorbula amurensis","SouthCentral","P8-R",NA,"0",NA,"37.9778522","-121.3799929","5","Spring","EMP"
"30","2007","Potamocorbula amurensis","SouthCentral","P8-R",NA,"0",NA,"37.9778522","-121.3799929","10","Fall","EMP"
"31","2007","Corbicula fluminea","SouthCentral","P8-R",NA,"120.192307692308",NA,"37.9778522","-121.3799929","5","Spring","EMP"
"32","2007","Corbicula fluminea","SouthCentral","P8-R",NA,"67.3076923076923",NA,"37.9778522","-121.3799929","10","Fall","EMP"
"33","2008","Potamocorbula amurensis","Confluence","D24-L",NA,"0",NA,"38.1547193","-121.6814495","5","Spring","EMP"
"34","2008","Potamocorbula amurensis","Confluence","D24-L",NA,"0",NA,"38.1547193","-121.6814495","10","Fall","EMP"
"35","2008","Corbicula fluminea","Confluence","D24-L",NA,"673.076923076923",NA,"38.1547193","-121.6814495","5","Spring","EMP"
"36","2008","Corbicula fluminea","Confluence","D24-L",NA,"961.538461538462",NA,"38.1547193","-121.6814495","10","Fall","EMP"
"37","2008","Potamocorbula amurensis","Confluence","D4-L",NA,"211.538461538462",NA,"38.0581151","-121.8193499","5","Spring","EMP"
"38","2008","Potamocorbula amurensis","Confluence","D4-L",NA,"1052.88461538462",NA,"38.0581151","-121.8193499","10","Fall","EMP"
"39","2008","Corbicula fluminea","Confluence","D4-L",NA,"903.846153846154",NA,"38.0581151","-121.8193499","5","Spring","EMP"
"40","2008","Corbicula fluminea","Confluence","D4-L",NA,"2658.65384615385",NA,"38.0581151","-121.8193499","10","Fall","EMP"
"41","2008","Potamocorbula amurensis","Suisun Bay","D6-R",NA,"1028.84615384615",NA,"38.0577031","-122.1149585","5","Spring","EMP"
"42","2008","Potamocorbula amurensis","Suisun Bay","D6-R",NA,"29293.2692307692",NA,"38.0577031","-122.1149585","10","Fall","EMP"
"43","2008","Corbicula fluminea","Suisun Bay","D6-R",NA,"0",NA,"38.0577031","-122.1149585","5","Spring","EMP"
"44","2008","Corbicula fluminea","Suisun Bay","D6-R",NA,"0",NA,"38.0577031","-122.1149585","10","Fall","EMP"
"45","2008","Potamocorbula amurensis","Suisun Bay","D7-C",NA,"9259.61538461538",NA,"38.1171292","-122.0395539","5","Spring","EMP"
"46","2008","Potamocorbula amurensis","Suisun Bay","D7-C",NA,"14269.2307692308",NA,"38.1171292","-122.0395539","10","Fall","EMP"
"47","2008","Corbicula fluminea","Suisun Bay","D7-C",NA,"0",NA,"38.1171292","-122.0395539","5","Spring","EMP"
"48","2008","Corbicula fluminea","Suisun Bay","D7-C",NA,"0",NA,"38.1171292","-122.0395539","10","Fall","EMP"
"49","2008","Potamocorbula amurensis","SouthCentral","C9-L",NA,"0",NA,"37.8271721","-121.5522898","5","Spring","EMP"
"50","2008","Potamocorbula amurensis","SouthCentral","C9-L",NA,"0",NA,"37.8271721","-121.5522898","10","Fall","EMP"
"51","2008","Corbicula fluminea","SouthCentral","C9-L",NA,"1009.61538461538",NA,"37.8271721","-121.5522898","5","Spring","EMP"
